preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
370000,Apartamento,Cariacica,São Geraldo,66,2,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
700000,Apartamento,Cariacica,Morada de Santa Fé,152,3,2,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,,,False
860000,Casa,Cariacica,Vera Cruz,200,4,4,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
350000,Casa,Cariacica,Jardim Campo Grande,70,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
530000,Apartamento,Cariacica,Rio Branco,67,3,2,0,True,True,False,False,True,False,False,False,False,False,False,False,False,False,,,False
420000,Apartamento,Cariacica,São Geraldo,110,3,2,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,,,False
420000,Térrea,Cariacica,Campina Grande,126,2,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
359300,Apartamento,Cariacica,Morada de Santa Fé,45,2,1,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
480000,Casa,Cariacica,Santa Cecília,127,2,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
850000,Apartamento,Cariacica,São Conrado,206,3,2,2,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,,False
240000,Apartamento,Cariacica,Tucum,43,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
590000,Casa,Cariacica,Cariacica Sede,720,4,3,2,True,True,True,True,False,False,False,False,False,False,False,False,False,False,,,False
600000,Apartamento,Cariacica,Campo Grande,91,2,3,2,True,True,False,False,True,False,False,False,False,False,False,False,False,False,,,False
180000,Casa,Cariacica,Campo Grande,248,3,1,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
600000,Casa,Cariacica,Alto Lage,210,2,3,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
320000,Apartamento,Cariacica,Rio Branco,55,2,1,1,False,True,True,True,True,True,False,True,False,True,False,False,False,False,,,False
210000,Apartamento,Cariacica,Santana,42,2,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,False
1300000,Casa,Cariacica,Campo Grande,570,5,4,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
230000,Apartamento,Cariacica,Morada de Santa Fé,59,2,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False
299900,Casa,Cariacica,Nova Rosa da Penha,200,2,2,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,False
800000,Casa,Cariacica,Itacibá,306,4,3,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
330000,Apartamento,Cariacica,Morada de Santa Fé,45,2,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
220000,Casa,Cariacica,Campo Grande,210,2,1,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
460000,Casa,Cariacica,São Francisco,140,3,2,4,True,False,False,False,False,False,False,False,False,True,False,False,False,False,,,False
230000,Apartamento,Cariacica,Campina Grande,45,2,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,False
450000,Apartamento,Cariacica,Rio Branco,64,3,2,1,True,True,False,True,True,True,False,True,False,False,False,False,False,False,,,False
820000,Apartamento,Cariacica,Cruzeiro do Sul,152,3,3,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
245000,Apartamento,Cariacica,Tucum,43,2,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
760000,Apartamento,Cariacica,Campo Grande,85,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
245000,Casa,Cariacica,São Conrado,100,3,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
850000,Apartamento,Cariacica,Campo Grande,91,2,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
220000,Apartamento,Cariacica,Tucum,42,2,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,False
649900,Sobrado,Cariacica,Jardim América,119,3,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
249000,Apartamento,Cariacica,Jardim América,90,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
450000,Apartamento,Cariacica,Rio Branco,64,3,2,0,True,True,False,True,True,False,False,True,False,True,False,False,False,False,,,False
355000,Apartamento,Cariacica,São Geraldo,63,3,2,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,,,False
230000,Apartamento,Cariacica,Santa Bárbara,45,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
370000,Apartamento,Cariacica,Bandeirantes,56,2,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
1700000,Casa de condomínio,Cariacica,Cariacica Sede,344,4,4,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
254269,Apartamento,Cariacica,Nova Valverde,41,2,1,1,False,True,False,True,True,False,False,True,False,True,False,False,False,False,,,False
240000,Apartamento,Cariacica,Tucum,42,2,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,False
420000,Apartamento,Cariacica,Vila Palestina,80,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
