preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
600000,apartamento,apartamento_padrao,Cariacica,Campo Grande,288,5.0,4.0,0.0,20,292,False,False,False,False,False,False
603500,apartamento,apartamento_padrao,Cariacica,Campo Grande,65,2.0,2.0,1.0,6,68,False,True,True,True,False,True
604000,apartamento,apartamento_padrao,Cariacica,Campo Grande,83,3.0,1.0,3.0,10,43,False,True,False,True,False,True
650000,apartamento,apartamento_padrao,Cariacica,Campo Grande,102,3.0,2.0,1.0,5,319,False,False,True,True,False,False
650000,apartamento,apartamento_padrao,Cariacica,Campo Grande,100,3.0,3.0,1.0,20,931,False,False,False,False,False,False
670000,apartamento,apartamento_padrao,Cariacica,Campo Grande,227,4.0,2.0,2.0,19,53,False,False,True,False,True,False
670000,apartamento,apartamento_padrao,Cariacica,Campo Grande,85,3.0,2.0,2.0,20,95,False,True,False,True,False,True
670000,apartamento,apartamento_padrao,Cariacica,Campo Grande,227,4.0,2.0,2.0,20,564,False,False,False,False,False,False
700000,apartamento,apartamento_padrao,Cariacica,Campo Grande,65,2.0,2.0,,20,14,False,True,True,False,False,True
730000,apartamento,apartamento_padrao,Cariacica,Campo Grande,38,2.0,1.0,1.0,12,50,False,True,False,False,False,True
760000,apartamento,apartamento_padrao,Cariacica,Campo Grande,85,3.0,2.0,2.0,20,461,False,False,False,False,False,False
774650,apartamento,apartamento_padrao,Cariacica,Campo Grande,83,3.0,2.0,2.0,6,68,False,True,False,True,False,True
800000,apartamento,apartamento_padrao,Cariacica,Campo Grande,150,3.0,2.0,2.0,20,56,True,True,True,True,False,True
800000,apartamento,apartamento_padrao,Cariacica,Campo Grande,150,3.0,3.0,2.0,20,95,True,False,False,True,False,True
800000,apartamento,apartamento_padrao,Cariacica,Campo Grande,150,3.0,4.0,2.0,20,230,True,False,False,True,True,True
850000,apartamento,apartamento_padrao,Cariacica,Campo Grande,85,3.0,2.0,2.0,12,20,False,True,True,True,False,True
850000,apartamento,apartamento_padrao,Cariacica,Campo Grande,91,2.0,3.0,2.0,20,73,True,False,False,True,False,False
850000,apartamento,apartamento_padrao,Cariacica,Campo Grande,91,2.0,3.0,2.0,10,203,False,True,False,True,False,False
870000,apartamento,apartamento_padrao,Cariacica,Campo Grande,240,4.0,5.0,1.0,20,184,True,False,False,False,True,False
950000,apartamento,apartamento_padrao,Cariacica,Campo Grande,86,3.0,2.0,2.0,20,124,False,True,True,False,False,True
950000,apartamento,apartamento_padrao,Cariacica,Campo Grande,150,3.0,5.0,2.0,20,532,False,False,True,True,False,False
999000,apartamento,apartamento_padrao,Cariacica,Campo Grande,140,4.0,2.0,2.0,15,382,False,True,True,True,False,True
999999,apartamento,apartamento_padrao,Cariacica,Campo Grande,140,4.0,3.0,2.0,11,481,False,True,False,True,False,True
