preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,anunciante_profissional,qtd_imagens,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
788007,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,153,3,2,1,True,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,5150.37,False
850000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,138,3,3,1,True,20,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1,6159.42,False
895000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,136,3,3,1,True,16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,6580.88,False
895099,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,136,3,3,1,True,16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,6581.61,False
1200000,apartamento,apartamento_cobertura,Vila Velha,Centro de Vila Velha,184,2,2,,True,9,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2,6521.74,False
1700000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,503,5,5,3,True,17,False,True,True,False,False,False,False,False,False,False,False,False,False,False,2,3379.72,False
1700000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,503,5,5,3,True,19,False,True,True,False,False,False,False,False,False,False,False,False,False,False,2,3379.72,False
279000,apartamento,apartamento_padrao,Vila Velha,Cidade da Barra,69,2,2,1,True,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4043.48,False
300000,apartamento,apartamento_padrao,Vila Velha,Cobilândia,78,3,1,1,True,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,3846.15,False
2300000,apartamento,apartamento_padrao,Vila Velha,Cobilândia,710,5,5,5,True,20,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,3239.44,False
300000,apartamento,apartamento_padrao,Vila Velha,Cocal,50,2,1,,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,6000.0,False
571200,apartamento,apartamento_padrao,Vila Velha,Cocal,53,2,1,1,True,20,False,True,True,False,True,False,False,False,False,False,False,False,False,False,1,10777.36,False
590000,apartamento,apartamento_padrao,Vila Velha,Cocal,50,2,1,1,True,20,False,True,True,False,True,False,False,False,False,False,False,False,False,False,0,11800.0,False
590000,apartamento,apartamento_padrao,Vila Velha,Cocal,50,2,1,1,True,20,False,True,True,False,True,False,False,False,False,False,False,False,False,False,3,11800.0,False
250000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,45,1,1,1,True,20,False,True,False,False,True,False,False,True,False,False,False,False,False,False,1,5555.56,False
