preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
780000,apartamento,Vila Velha,Centro de Vila Velha,153,3,2,1,19,3,True,False,False,False,False,False
788007,apartamento,Vila Velha,Centro de Vila Velha,153,3,2,1,19,3,True,False,False,False,False,False
850000,apartamento,Vila Velha,Centro de Vila Velha,138,3,3,1,20,2,True,False,False,False,False,True
895000,apartamento,Vila Velha,Centro de Vila Velha,136,3,3,1,16,3,True,False,False,False,False,False
895099,apartamento,Vila Velha,Centro de Vila Velha,136,3,3,1,16,3,True,False,False,False,False,False
999000,apartamento,Vila Velha,Centro de Vila Velha,137,3,2,1,8,10,False,False,False,True,False,True
1200000,apartamento,Vila Velha,Centro de Vila Velha,184,2,2,,9,3,False,False,True,False,False,False
1580332,apartamento,Vila Velha,Centro de Vila Velha,240,4,3,2,7,11,False,False,False,False,False,False
1700000,apartamento,Vila Velha,Centro de Vila Velha,503,5,5,3,17,3,False,True,True,False,False,False
1700000,apartamento,Vila Velha,Centro de Vila Velha,503,5,5,3,19,4,False,True,True,False,False,False
279000,apartamento,Vila Velha,Cidade da Barra,69,2,2,1,13,0,False,False,False,False,False,False
280000,apartamento,Vila Velha,Cidade da Barra,69,2,2,1,10,1,False,False,False,False,False,False
300000,apartamento,Vila Velha,Cobilândia,78,3,1,1,14,2,False,False,False,False,False,False
2000000,apartamento,Vila Velha,Cobilândia,700,4,5,4,2,6,False,False,True,False,True,False
2300000,apartamento,Vila Velha,Cobilândia,710,5,5,5,20,4,False,False,True,False,False,False
300000,apartamento,Vila Velha,Cocal,50,2,1,,1,1,False,False,False,False,False,False
408560,apartamento,Vila Velha,Cocal,51,2,2,0,17,10,True,True,True,False,False,True
494500,apartamento,Vila Velha,Cocal,47,2,1,1,0,2,False,True,True,True,False,False
496200,apartamento,Vila Velha,Cocal,67,3,2,2,18,10,True,True,True,False,False,True
571200,apartamento,Vila Velha,Cocal,53,2,1,1,20,2,False,True,True,True,False,False
590000,apartamento,Vila Velha,Cocal,50,2,1,1,20,2,False,True,True,True,False,False
590000,apartamento,Vila Velha,Cocal,50,2,1,1,20,4,False,True,True,True,False,False
250000,apartamento,Vila Velha,Coqueiral de Itaparica,45,1,1,1,20,3,False,True,False,True,False,True
340000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,6,2,False,False,False,True,False,False
349990,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,15,2,False,False,False,False,False,False
360000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,2,9,0,False,False,False,True,False,False
360000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,1,1,18,3,False,False,False,False,False,False
360000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,1,1,18,5,False,False,False,False,False,False
367000,apartamento,Vila Velha,Coqueiral de Itaparica,48,2,1,1,20,2,False,False,False,False,False,False
370000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,1,2,11,0,False,True,False,True,False,False
370000,apartamento,Vila Velha,Coqueiral de Itaparica,75,3,2,2,13,1,False,False,False,False,False,False
370000,apartamento,Vila Velha,Coqueiral de Itaparica,55,2,1,1,18,1,False,False,False,True,False,False
375000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,11,2,False,False,False,True,False,False
380000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,16,6,False,False,False,False,True,False
400000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,0,18,1,False,False,False,True,False,False
410000,apartamento,Vila Velha,Coqueiral de Itaparica,74,3,2,2,20,4,False,False,False,True,False,False
420000,apartamento,Vila Velha,Coqueiral de Itaparica,75,3,2,1,5,3,False,False,False,False,False,False
429493,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,20,3,False,False,True,True,False,False
429494,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,20,0,False,False,False,False,False,False
429495,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,20,2,False,False,False,False,False,False
429497,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,20,3,False,False,False,False,False,False
429501,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,20,2,False,False,False,False,False,False
429503,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,20,0,False,False,False,True,False,False
450000,apartamento,Vila Velha,Coqueiral de Itaparica,83,3,2,1,20,2,False,False,False,True,False,False
470192,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,18,1,False,False,False,True,False,False
470195,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,19,0,False,False,False,False,False,False
470196,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,20,3,False,False,False,False,False,False
470196,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,20,3,False,False,False,False,False,False
