preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
410000,casa,Cariacica,Santa Bárbara,146,3,2,2,False,False,False,False,False,False
469000,casa,Cariacica,Campo Grande,172,3,2,1,True,False,False,False,False,False
600000,casa,Cariacica,Bela Aurora,135,4,2,4,True,False,False,False,False,False
359000,apartamento,Cariacica,Morada de Santa Fé,60,2,1,1,False,False,False,False,False,False
260000,casa,Cariacica,Jardim Botânico,312,2,3,4,True,False,False,False,False,False
580000,casa,Cariacica,Jardim América,371,3,2,5,True,False,False,False,False,False
225000,apartamento,Cariacica,Santa Cecília,59,2,1,1,False,False,False,False,False,False
900000,apartamento,Cariacica,Itacibá,500,5,4,4,False,False,False,False,False,False
270000,casa,Cariacica,Jardim Botânico,180,4,3,3,True,False,False,False,False,False
220000,apartamento,Cariacica,Tucum,42,2,1,1,False,True,False,True,False,False
800000,casa,Cariacica,Jardim América,200,3,2,2,True,False,False,False,False,False
1100000,apartamento,Cariacica,Campo Grande,145,4,3,2,True,True,True,True,False,True
500000,apartamento,Cariacica,São Conrado,120,3,2,2,False,False,False,False,True,False
245000,apartamento,Cariacica,Jardim de Alah,50,2,1,1,False,False,False,False,False,True
900000,casa,Cariacica,Vera Cruz,206,3,3,2,True,False,True,False,False,False
322000,apartamento,Cariacica,Morada de Santa Fé,46,2,1,1,False,True,True,True,False,True
1100000,casa,Cariacica,Morada de Santa Fé,127,3,3,2,False,False,True,False,False,False
310000,apartamento,Cariacica,São João Batista,49,2,1,1,False,False,False,False,False,False
220000,apartamento,Cariacica,Tucum,41,2,1,1,False,True,False,True,False,False
350000,apartamento,Cariacica,Rio Branco,63,2,1,1,False,False,True,False,False,False
378890,casa,Cariacica,Santa Bárbara,68,2,3,1,True,False,False,False,False,False
670000,apartamento,Cariacica,Vera Cruz,144,2,2,2,True,False,False,False,False,False
807130,apartamento,Cariacica,São Geraldo,91,3,2,2,True,True,False,True,False,True
680000,casa,Cariacica,Campo Grande,200,3,2,2,True,False,False,False,False,False
995000,casa,Cariacica,Jardim América,200,3,3,2,True,False,False,False,False,False
800000,apartamento,Cariacica,Campo Grande,150,3,4,2,True,False,False,False,False,False
350000,casa,Cariacica,São Francisco,210,3,1,4,True,False,False,False,False,False
210000,apartamento,Cariacica,Tucum,42,2,1,1,False,True,False,True,False,False
392000,apartamento,Cariacica,Morada de Santa Fé,52,3,1,1,False,True,False,True,False,True
1300000,apartamento,Cariacica,Campo Grande,115,4,2,2,True,True,True,True,True,True
415000,casa,Cariacica,Santa Bárbara,350,3,2,2,True,False,True,False,False,False
580000,apartamento,Cariacica,Campo Grande,62,2,2,1,True,True,False,True,True,True
670000,casa,Cariacica,Santo André,150,3,2,2,True,False,False,False,False,False
1150000,apartamento,Cariacica,Campo Grande,115,3,2,2,True,True,False,True,False,True
300000,apartamento,Cariacica,Campo Grande,76,2,2,0,True,False,False,False,False,False
295000,apartamento,Cariacica,Vila Palestina,80,2,1,0,False,False,False,False,False,False
367500,casa,Cariacica,Parque Gramado,120,2,1,1,False,False,True,False,False,False
650000,casa,Cariacica,São Francisco,200,3,3,3,True,False,False,False,False,False
1050000,apartamento,Cariacica,São Geraldo,115,3,2,2,True,False,False,False,False,False
849900,apartamento,Cariacica,São Geraldo,85,3,2,2,True,False,False,False,False,False
420000,casa,Cariacica,Santa Bárbara,126,2,2,2,True,False,False,False,False,False
604000,apartamento,Cariacica,Campo Grande,83,3,1,3,False,True,False,True,False,True
450000,apartamento,Cariacica,Rio Branco,63,3,2,1,True,False,False,False,False,False
950000,casa,Cariacica,Jardim América,200,3,2,3,True,False,True,False,False,False
900000,casa,Cariacica,Vera Cruz,206,3,2,2,True,False,False,False,False,False
600000,casa,Cariacica,Santana,300,4,2,1,True,False,False,False,False,False
600000,apartamento,Cariacica,Campo Grande,130,3,2,1,True,False,False,False,True,False
355000,apartamento,Cariacica,São Geraldo,63,3,1,1,True,False,False,True,True,True
790000,apartamento,Cariacica,Cruzeiro do Sul,152,3,2,1,True,False,True,False,False,False
415000,casa,Cariacica,Santa Bárbara,146,3,1,2,False,False,False,False,False,False
385500,apartamento,Cariacica,Cruzeiro do Sul,167,3,2,2,True,False,False,False,False,False
283000,apartamento,Cariacica,São João Batista,46,2,1,1,False,False,False,True,False,False
250000,apartamento,Cariacica,Campina Grande,44,2,1,1,False,False,False,True,False,False
410000,apartamento,Cariacica,Rio Branco,67,3,2,1,False,False,False,False,False,False
1650000,casa,Cariacica,Morada de Santa Fé,200,3,4,5,True,False,True,False,False,False
700000,apartamento,Cariacica,Cruzeiro do Sul,152,3,3,1,True,False,True,False,False,False
200000,apartamento,Cariacica,Morada de Santa Fé,70,2,1,1,False,False,False,False,False,False
320000,apartamento,Cariacica,Rio Branco,54,2,1,1,False,False,False,True,False,True
1300000,apartamento,Cariacica,Campo Grande,135,4,2,2,True,True,False,True,True,True
1300000,apartamento,Cariacica,Campo Grande,115,3,1,2,False,True,False,True,True,True
360000,apartamento,Cariacica,Morada de Santa Fé,54,2,1,1,False,False,True,False,False,True
1290000,apartamento,Cariacica,Campo Grande,114,3,1,2,False,False,False,False,False,False
872250,apartamento,Cariacica,São Geraldo,103,3,2,2,True,True,False,True,False,False
300000,apartamento,Cariacica,São Geraldo,46,2,1,1,False,False,False,True,False,False
460000,casa,Cariacica,Rio Branco,200,4,3,2,False,False,False,False,False,False
450000,apartamento,Cariacica,Rio Branco,67,3,2,1,True,False,False,False,False,False
600000,apartamento,Cariacica,Vila Capixaba,270,4,2,0,True,False,False,False,False,False
299000,casa,Cariacica,Itaquari,174,4,2,2,False,False,True,False,False,False
460000,apartamento,Cariacica,Campo Grande,120,2,2,1,True,False,False,False,False,False
460000,casa,Cariacica,Santo André,380,4,2,1,True,False,False,False,False,False
210000,apartamento,Cariacica,Campina Grande,45,2,1,1,False,True,False,True,False,False
300000,apartamento,Cariacica,São Geraldo,46,2,1,1,True,False,False,True,False,True
495000,apartamento,Cariacica,Jardim América,150,4,2,1,True,False,False,False,False,False
499999,apartamento,Cariacica,Bela Aurora,206,3,2,0,False,False,False,False,False,False
800000,apartamento,Cariacica,Campo Grande,150,3,3,2,True,False,False,True,False,True
