preco_venda,preco_m2,tipo_imovel_original,tipo_imovel,cidade_original,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,preco_suspeito,area_suspeita,preco_m2_suspeito
415000,1185.71,Térrea,casa,Cariacica,Cariacica,Santa Bárbara,350,3,2,2,True,False,True,False,False,False,False,False,False
580000,9354.84,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,62,2,2,1,True,True,False,True,True,True,False,False,False
670000,4466.67,Casa,casa,Cariacica,Cariacica,Santo André,150,3,2,2,True,False,False,False,False,False,False,False,False
1150000,10000.0,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,115,3,2,2,True,True,False,True,False,True,False,False,False
300000,3947.37,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,76,2,2,0,True,False,False,False,False,False,False,False,False
1400000,12173.91,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,115,3,2,0,False,False,False,False,False,False,False,False,False
636000,6694.74,Casa,casa,Cariacica,Cariacica,Santa Bárbara,95,3,2,0,True,False,False,False,False,False,False,False,False
295000,3687.5,Apartamento,apartamento,Cariacica,Cariacica,Vila Palestina,80,2,1,0,False,False,False,False,False,False,False,False,False
355000,5634.92,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,63,3,1,0,True,False,True,False,False,False,False,False,False
650000,2031.25,Casa,casa,Cariacica,Cariacica,Campo Grande,320,3,1,0,False,False,False,False,False,False,False,False,False
850000,9340.66,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,91,2,3,0,True,False,False,False,False,False,False,False,False
750000,3000.0,Casa,casa,Cariacica,Cariacica,São Conrado,250,3,2,0,True,False,True,False,False,False,False,False,False
500000,3424.66,Sobrado,casa,Cariacica,Cariacica,Jardim América,146,4,1,0,True,False,False,False,False,False,False,False,False
670000,2951.54,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,227,4,2,0,True,False,False,False,False,False,False,False,False
367500,3062.5,Casa,casa,Cariacica,Cariacica,Parque Gramado,120,2,1,1,False,False,True,False,False,False,False,False,False
650000,3250.0,Casa,casa,Cariacica,Cariacica,São Francisco,200,3,3,3,True,False,False,False,False,False,False,False,False
