preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
540000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,100,3.0,2.0,1.0,15,3,False,False,False,False,False,False
540000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,100,3.0,2.0,1.0,12,3,True,False,False,False,False,False
540055,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,100,3.0,2.0,1.0,15,3,True,False,False,False,False,False
550000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,91,2.0,2.0,1.0,18,1,False,False,False,True,False,True
550000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,91,2.0,1.0,1.0,20,2,False,False,False,True,False,True
550000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,91,3.0,2.0,1.0,20,10,False,False,False,True,False,True
675000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,62,2.0,2.0,1.0,17,3,False,True,True,True,False,True
690000,apartamento,apartamento_cobertura,Vila Velha,Centro de Vila Velha,297,4.0,1.0,1.0,20,3,False,False,True,False,False,False
690000,apartamento,apartamento_cobertura,Vila Velha,Centro de Vila Velha,297,4.0,1.0,1.0,20,4,False,False,True,False,False,False
700000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,87,3.0,2.0,1.0,17,4,False,False,False,False,False,False
700000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,90,3.0,2.0,1.0,15,4,False,False,True,False,False,True
700000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,87,3.0,2.0,1.0,17,5,False,False,False,False,False,False
700000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,87,3.0,2.0,1.0,17,9,False,False,False,False,False,False
700000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,91,3.0,2.0,1.0,8,10,False,False,True,False,False,True
