_row_id_base,_row_id_novo,cidade_base,cidade_novo,bairro_base,bairro_novo,tipo_imovel_base,tipo_imovel_novo,preco_venda_base,preco_venda_novo,area_m2_base,area_m2_novo,quartos,banheiros,vagas,dif_preco_abs,dif_preco_pct,dif_area_abs,dif_area_pct
223,3705,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,580000,580000,83,83,3.0,2.0,1.0,0,0.0,0,0.0
226,3367,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,580000,580000,74,74,2.0,2.0,1.0,0,0.0,0,0.0
246,3469,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,640000,640000,94,94,3.0,2.0,1.0,0,0.0,0,0.0
248,3287,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,650000,650000,68,68,2.0,2.0,1.0,0,0.0,0,0.0
259,3915,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,670000,670000,70,70,2.0,2.0,1.0,0,0.0,0,0.0
259,4033,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,670000,670000,70,70,2.0,2.0,1.0,0,0.0,0,0.0
260,3915,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,670000,670000,70,70,2.0,2.0,1.0,0,0.0,0,0.0
260,4033,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,670000,670000,70,70,2.0,2.0,1.0,0,0.0,0,0.0
262,3915,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,670000,670000,70,70,2.0,2.0,1.0,0,0.0,0,0.0
262,4033,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,670000,670000,70,70,2.0,2.0,1.0,0,0.0,0,0.0
265,3834,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,690000,690000,65,65,2.0,2.0,1.0,0,0.0,0,0.0
265,4112,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,690000,690000,65,65,2.0,2.0,1.0,0,0.0,0,0.0
266,3535,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,690000,690000,80,80,2.0,2.0,1.0,0,0.0,0,0.0
273,3279,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,700000,700000,70,70,2.0,2.0,1.0,0,0.0,0,0.0
273,3579,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,700000,700000,70,70,2.0,2.0,1.0,0,0.0,0,0.0
273,3809,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,700000,700000,70,70,2.0,2.0,1.0,0,0.0,0,0.0
